reading_time
2
6
5
7
8
12
3
7
7
6
5
7
12
8
5
3
5
4
4
4
9
11
4
4
9
7
5
13
4
6
5
6
2
20
9
10
3
4
6
7
5
4
4
5
4
7
8
3
3
8
4
13
5
5
5
4
7
5
7
11
8
4
7
4
7
9
9
4
3
8
4
4
5
4
6
7
8
6
7
16
6
7
24
6
6
5
2
5
4
3
5
4
2
5
6
4
6
6
6
4
