reading_time
5
8
10
11
4
3
4
4
16
6
4
9
7
5
3
5
32
5
5
5
8
5
2
8
5
3
5
4
15
6
4
3
5
7
5
3
3
5
5
6
5
8
7
12
6
7
7
3
6
2
4
3
4
6
4
10
7
3
8
5
7
4
5
5
14
4
4
5
4
7
3
10
7
4
2
14
4
6
3
7
10
10
8
7
10
8
9
6
5
5
5
3
4
9
10
5
4
4
7
6
