reading_time
5
4
3
4
4
6
4
7
2
6
7
11
3
6
5
12
5
5
6
10
5
4
4
3
8
5
5
5
11
5
4
10
5
4
5
7
5
5
4
15
5
7
4
8
4
4
8
5
6
7
2
4
9
4
8
5
6
6
6
5
8
9
9
5
16
4
7
6
4
5
7
5
3
5
4
6
4
6
5
8
6
5
3
6
7
4
6
7
5
6
7
6
5
10
7
4
7
4
4
4
